date,vendor,customer,tool_group,kpi,value,unit,region,source,confidence
2025-08-01,ASML,TSMC,Lithography,tool_uptime_pct,92,%,TW,internal,0.8
2025-08-01,ASML,TSMC,Lithography,process_qual_days,28,days,TW,internal,0.7
2025-08-01,Tokyo Electron,Samsung,Etch,install_lead_time_days,84,days,KR,internal,0.6
2025-08-01,Lam Research,Intel,Deposition,otd_pct,88,%,US,internal,0.6
2025-08-01,KLA,TSMC,Metrology,mtbf_hours,640,hours,TW,internal,0.7
2025-08-01,Entegris,TSMC,Consumables,spares_fill_rate_pct,93,%,TW,partner,0.6
2025-08-01,ASML,TSMC,Lithography,field_failure_rate_ppm,120,ppm,TW,internal,0.7
2025-08-01,Tokyo Electron,Intel,Etch,cycle_time_delta_pct,-2.5,%,US,internal,0.6
2025-08-01,Lam Research,Samsung,Deposition,fab_coverage_count,9,count,KR,internal,0.8
2025-08-01,ASML,GlobalFoundries,Lithography,node_coverage_count,7,count,US,public,0.5
2025-08-01,ASML,,Company,china_rev_exposure_pct,16,%,Global,public,0.5
2025-08-01,ASML,,Company,export_ctrl_exposure,75,0-100,Global,derived,0.5
2025-08-01,Applied Materials,TSMC,Deposition,otd_pct,91,%,TW,internal,0.7
2025-08-01,Applied Materials,Intel,Deposition,install_lead_time_days,76,days,US,internal,0.7
2025-08-01,Applied Materials,Samsung,Deposition,mtbf_hours,580,hours,KR,internal,0.7

2025-08-01,Tokyo Electron,TSMC,Etch,tool_uptime_pct,93,%,TW,internal,0.7
2025-08-01,Tokyo Electron,Micron,Etch,otd_pct,89,%,US,internal,0.6
2025-08-01,Tokyo Electron,SK hynix,Etch,process_qual_days,35,days,KR,internal,0.6

2025-08-01,Lam Research,TSMC,Deposition,cycle_time_delta_pct,-1.8,%,TW,internal,0.6
2025-08-01,Lam Research,Samsung,Deposition,tool_uptime_pct,92,%,KR,internal,0.7
2025-08-01,Lam Research,Intel,Deposition,spares_fill_rate_pct,90,%,US,internal,0.6

2025-08-01,KLA,TSMC,Metrology,mtbf_hours,660,hours,TW,internal,0.7
2025-08-01,KLA,Samsung,Metrology,field_failure_rate_ppm,95,ppm,KR,internal,0.6
2025-08-01,KLA,Micron,Metrology,otd_pct,87,%,US,internal,0.6

2025-08-01,Entegris,TSMC,Consumables,spares_fill_rate_pct,94,%,TW,partner,0.6
2025-08-01,Entegris,Intel,Consumables,support_sla_achv_pct,92,%,US,partner,0.6

2025-08-01,ASML,TSMC,Lithography,node_coverage_count,8,count,TW,public,0.6
2025-08-01,ASML,Samsung,Lithography,otd_pct,88,%,KR,public,0.5
2025-08-01,ASML,,Company,china_rev_exposure_pct,16,%,Global,public,0.5
2025-08-01,ASML,,Company,export_ctrl_exposure,75,0-100,Global,derived,0.5
2025-08-01,ASML,,Company,supply_chain_risk,40,0-100,Global,derived,0.5

2025-08-01,GlobalFoundries,,Company,fab_coverage_count,7,count,US,public,0.5
2025-08-01,GlobalFoundries,ASML,Lithography,install_lead_time_days,90,days,US,internal,0.5

2025-08-01,Intel,,Company,fab_coverage_count,12,count,US,public,0.6
2025-08-01,Intel,Lam Research,Deposition,tool_uptime_pct,91,%,US,internal,0.6

2025-08-01,Samsung,,Company,fab_coverage_count,16,count,KR,public,0.6
2025-08-01,Samsung,KLA,Metrology,mtbf_hours,600,hours,KR,internal,0.6

2025-08-01,Micron,,Company,fab_coverage_count,10,count,US,public,0.5
2025-08-01,Micron,Tokyo Electron,Etch,otd_pct,90,%,US,internal,0.6

2025-08-01,SK hynix,,Company,fab_coverage_count,11,count,KR,public,0.5
2025-08-01,SK hynix,Tokyo Electron,Etch,process_qual_days,33,days,KR,internal,0.6

2025-08-01,Texas Instruments,,Company,financial_risk,20,0-100,US,derived,0.6
2025-08-01,STMicroelectronics,,Company,quality_risk,25,0-100,EU,derived,0.6
2025-08-01,Infineon,,Company,export_ctrl_exposure,55,0-100,EU,derived,0.6
2025-08-01,NXP,,Company,cyber_risk,35,0-100,EU,derived,0.6
